group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,ADCY1,3.3896978,1.228212,0.000699696950112,0.0012849717812594
Cluster 1,SPATA6L,3.3893244,1.7706964,0.0007006506259052,0.0012865923329872
Cluster 1,CYB561D1,3.3888922,1.3809929,0.0007017558428379,0.0012884907991832
Cluster 1,SMIM27,3.3828223,0.67069507,0.0007174507029864,0.0013167725169762
Cluster 1,PIP4P2,3.381416,0.58359957,0.0007211323915811,0.0013233951958507
Cluster 1,CYP4F11,3.379011,1.6266695,0.0007274714315214,0.0013348927050517
Cluster 1,RAD52,3.3776662,1.2257519,0.0007310373516703,0.0013412997862693
Cluster 1,ZBTB8A,3.3764486,1.0898741,0.000734280916154,0.0013471141708737
Cluster 1,DGKG,3.37594,1.6402472,0.0007356395934969,0.0013494697053401
Cluster 1,B3GNT10,3.3754573,1.0807326,0.0007369312804816,0.0013517018855192
Cluster 1,PLA2G6,3.3733964,0.9466695,0.0007424701043578,0.0013617230494103
Cluster 1,CAP1,3.3721864,0.4865967,0.0007457396325642,0.0013675806118458
Cluster 1,TNFRSF10D,3.368355,1.05356,0.0007561811870524,0.0013865881271114
Cluster 1,PPOX,3.3673518,0.92843986,0.0007589383661123,0.0013915025906444
Cluster 1,MED9,3.3656595,1.0955287,0.0007636089794757,0.0013997818446221
Cluster 1,SAMD10,3.3603766,1.6770154,0.000778363237598,0.0014266832465028
Cluster 1,ZNF672,3.3591,1.1930388,0.0007819671685228,0.0014331435227021
Cluster 1,ZNF213,3.358128,0.91323596,0.0007847221363596,0.0014380467158902
Cluster 1,ZNF17,3.3576472,0.9732148,0.0007860886838993,0.0014402586702367
Cluster 1,PRKX,3.3574119,1.2122128,0.000786758162965,0.001441339038939
Cluster 1,KIF7,3.3529024,0.9314471,0.0007996888317385,0.0014647307965853
Cluster 1,FKBPL,3.3497832,1.5655997,0.0008087483812247,0.0014811742665473
Cluster 1,SOX13,3.3433888,0.9734142,0.0008276185066614,0.0015154263834204
Cluster 1,PIAS3,3.3419363,0.4235431,0.0008319612703469,0.0015232238284421
Cluster 1,RAD17,3.3398278,0.80178016,0.0008383036676964,0.0015345248485821
Cluster 1,ZNF516,3.3390212,0.4248465,0.0008407417205643,0.0015386757869617
Cluster 1,PLCXD2,3.3371222,1.8124738,0.0008465070962007,0.0015490702415071
Cluster 1,STRADB,3.336427,1.1153388,0.0008486268618697,0.0015527919618648
Cluster 1,TRIM45,3.335433,1.4805266,0.0008516666453918,0.00155819617857
Cluster 1,LETM1,3.3344893,1.1987482,0.0008545614499679,0.0015633340759316
Cluster 1,CELSR2,3.3311777,1.8853152,0.0008647938534481,0.0015815761373077
Cluster 1,NUDT7,3.331177,1.0691394,0.0008647958123699,0.0015815761373077
Cluster 1,FAM83G,3.3235993,1.6311601,0.0008886380391133,0.0016250152618034
Cluster 1,UBE2D1,3.3209682,0.8952141,0.0008970574085352,0.001640245310179
Cluster 1,ZNF354B,3.3177228,0.954637,0.0009075447978818,0.0016592532105041
Cluster 1,CIPC,3.3147507,0.9554454,0.0009172490762758,0.0016768256549289
Cluster 1,RILPL1,3.309454,0.5244975,0.0009347813238479,0.0017083575696838
Cluster 1,ZNF765,3.3055453,1.105772,0.0009479178939777,0.0017321899746457
Cluster 1,ZSCAN31,3.3035202,1.14006,0.000954790586944,0.0017445723382612
Cluster 1,ZNF713,3.3012586,1.2061608,0.0009625214110949,0.0017581642364508
Cluster 1,LIME1,3.2984998,1.1316838,0.0009720296454466,0.0017753526183346
Cluster 1,FAM117A,3.2968228,0.5457623,0.000977852179219,0.0017858064980115
Cluster 1,FKBP8,3.2958283,0.3710919,0.000981319207785,0.0017919569475359
Cluster 1,PIGV,3.2934952,1.0439802,0.0009895001827051,0.0018065306136174
Cluster 1,PFDN4,3.2931242,1.387502,0.0009908072774082,0.001808734109931
Cluster 1,CDK17,3.2916965,0.56795037,0.0009958496942569,0.0018177553602438
Cluster 1,CAP2,3.2894957,0.64444697,0.0010036707019951,0.0018312908494118
Cluster 1,TESK2,3.287904,0.9043898,0.0010093624576727,0.001841489923283
Cluster 1,MED7,3.2816582,0.79996437,0.0010319866139921,0.0018821951596274
Cluster 1,TBX3,3.2778387,1.313593,0.0010460512472895,0.0019072691259648
Cluster 1,ZNF527,3.2771616,1.0744395,0.001048563471159,0.0019116566544362
Cluster 1,GEMIN2,3.2720795,1.4491942,0.0010675959745967,0.0019461587027325
Cluster 1,FOXA3,3.2714455,1.224181,0.0010699922247803,0.001950330028776
Cluster 1,LIN52,3.2698123,1.0833069,0.0010761887729684,0.001961426812905
Cluster 1,KIN,3.2689326,0.882223,0.0010795406278916,0.0019673372346823
Cluster 1,ZNF226,3.2687461,1.0319804,0.0010802513026105,0.0019684337056045
Cluster 1,NRM,3.2613256,1.1503271,0.0011089265543411,0.0020200742175216
Cluster 1,TRIM16,3.2609098,1.1074021,0.0011105536912877,0.0020228342301064
Cluster 1,PIF1,3.2588716,1.5886981,0.0011185629954237,0.0020370119575798
Cluster 1,ZNF585B,3.2571127,0.93490386,0.0011255170543392,0.0020494692918482
Cluster 1,HOXA11,3.2523122,1.0697776,0.0011447017939301,0.002084192881104
Cluster 1,SAMD8,3.251182,0.61474854,0.0011492624304995,0.0020922856104405
Cluster 1,SDR16C5,3.2499526,2.164202,0.0011542427431674,0.0021011406709796
Cluster 1,DTWD2,3.2440834,0.9901578,0.0011782919900858,0.0021447028280384
Cluster 1,WSCD1,3.2414064,0.8991367,0.0011894146241193,0.0021642935592852
Cluster 1,BNIP1,3.239775,0.8607582,0.001196241197501,0.0021764960750099
Cluster 1,ZKSCAN3,3.2393827,1.0125753,0.0011978868220593,0.0021792706259064
Cluster 1,TECPR2,3.2389398,0.86854166,0.0011997486526105,0.0021824379136537
Cluster 1,THAP10,3.23891,1.2984316,0.0011998748489288,0.0021824476250963
Cluster 1,ZNF610,3.238563,1.1204716,0.0012013349546168,0.0021848833327092
Cluster 1,CENPK,3.2372053,1.6021203,0.001207065507701,0.0021948634516228
Cluster 1,FZD3,3.2369647,1.6470436,0.001208083966389,0.0021964941869768
Cluster 1,SERAC1,3.2345235,1.0689776,0.0012184584723676,0.0022151337052265
Cluster 1,LIN37,3.231715,0.9145432,0.0012304973773582,0.0022367950111067
Cluster 1,CA3,3.2241132,1.6636883,0.0012636346740604,0.0022968006989615
Cluster 1,INTS12,3.2226827,0.6740896,0.0012699616308215,0.002307836080243
Cluster 1,ZNF177,3.220995,1.0862049,0.0012774634872642,0.0023212352236886
Cluster 1,PUSL1,3.2195406,1.2297171,0.0012839618186719,0.0023325736943237
Cluster 1,GALNT18,3.2166598,1.3411236,0.0012969224593739,0.0023558822826048
Cluster 1,TBXAS1,3.2159588,1.4285294,0.0013000946721176,0.0023614071202071
Cluster 1,ZNF280B,3.213729,1.7620821,0.0013102328339808,0.0023795820693982
Cluster 1,EEF1AKMT3,3.2130003,1.0428753,0.0013135615511324,0.0023853876197053
Cluster 1,SLC25A20,3.207886,0.48178008,0.0013371449153691,0.0024277260086202
Cluster 1,NOS1AP,3.2013748,1.8971233,0.0013677349707046,0.0024827661943088
Cluster 1,TM4SF5,3.1969287,1.0130521,0.0013889928238658,0.0025208474787305
Cluster 1,PLEKHS1,3.1928074,2.7224946,0.0014089686990253,0.0025568442133453
Cluster 1,FBXO25,3.1914065,0.48186672,0.0014158194694448,0.0025690180847301
Cluster 1,CHST12,3.1898599,0.4107967,0.0014234177526748,0.0025825455584456
Cluster 1,TMEM30A,3.187773,0.7510392,0.0014337301831682,0.0026007332644552
Cluster 1,CARMIL3,3.1870708,1.8586878,0.0014372161727113,0.0026067948620752
Cluster 1,IRS1,3.182042,0.4601295,0.0014624065511942,0.0026522182887884
Cluster 1,ZNF347,3.18067,1.213299,0.0014693484283523,0.0026642729108532
Cluster 1,CA9,3.1745372,2.784285,0.0015007563861488,0.002720130364456
Cluster 1,CFAP47,3.1691718,2.3693275,0.0015287401932459,0.0027697391802583
Cluster 1,ZMYM6,3.1675162,0.61130553,0.0015374714234807,0.0027849993946448
Cluster 1,LSM11,3.1631284,0.98418826,0.0015608351843644,0.0028261868805026
Cluster 1,FBXO8,3.1617315,0.6331135,0.0015683409526928,0.0028392081126544
Cluster 1,ZNF77,3.1610115,1.5239961,0.0015722230124999,0.0028459505974062
Cluster 1,EVA1C,3.1605158,0.8214485,0.0015749010617203,0.0028505125160414
