,group,names,scores,logfoldchanges,pvals,pvals_adj
81457,Strom,IL7R,-18.275839,-2.158583,1.2889088207948798e-74,1.6359692545936656e-73
81458,Strom,IRAK1,-18.277449,-0.70094776,1.2514550008275e-74,1.5888963140456394e-73
81459,Strom,RBBP8NL,-18.288462,-4.59359,1.0225907300746239e-74,1.2998464604725367e-73
81460,Strom,SIAH2,-18.301739,-0.77490455,8.014876460079506e-75,1.0196939533955356e-73
81461,Strom,NXPE4,-18.302341,-4.0227404,7.926681519739997e-75,1.0087698604451235e-73
81462,Strom,PAFAH1B3,-18.307158,-0.7162077,7.256047811051283e-75,9.236948863468283e-74
81463,Strom,ARHGAP9,-18.341581,-4.912318,3.854157447757176e-75,4.913568266681181e-74
81464,Strom,MOGAT3,-18.358973,-3.7608047,2.798561005154445e-75,3.578355019943713e-74
81465,Strom,GPRIN3,-18.36539,-1.4943099,2.4865545709219237e-75,3.1803503232459425e-74
81466,Strom,NABP1,-18.365517,-1.1819662,2.480793444602711e-75,3.1739196532454785e-74
81467,Strom,SAPCD2,-18.379545,-3.3183782,1.915677071669462e-75,2.4530868347928303e-74
81468,Strom,RPL10A,-18.383505,-0.068465166,1.7808442081345852e-75,2.2811038477798494e-74
81469,Strom,TSTA3,-18.39344,-0.7102409,1.4826799279900934e-75,1.9003065633185437e-74
81470,Strom,SULT1A1,-18.407272,-1.0248309,1.1486444208314075e-75,1.4743661869046553e-74
81471,Strom,AC074389.9,-18.426882,-3.8545487,7.996008621483093e-76,1.0269532497181937e-74
81472,Strom,C1orf162,-18.427496,-3.950507,7.905930845846744e-76,1.01568566004731e-74
81473,Strom,CEP170B,-18.432066,-1.272128,7.265568467407324e-76,9.33971887158669e-75
81474,Strom,SQRDL,-18.434624,-0.5582201,6.93002904354321e-76,8.913685499632607e-75
81475,Strom,NEBL,-18.439798,-1.2467766,6.297464897667571e-76,8.1024636058516e-75
81476,Strom,CTD-2396E7.11,-18.447142,-4.399213,5.4977024280049663e-76,7.07767865820675e-75
81477,Strom,EPHX2,-18.450817,-0.9411855,5.1361973367581775e-76,6.616217057427602e-75
81478,Strom,P2RX4,-18.478762,-0.980112,3.0612419849906364e-76,3.9468774380209927e-75
81479,Strom,SMCO4,-18.48122,-0.75649655,2.924889080231264e-76,3.7722005116379493e-75
81480,Strom,AMICA1,-18.496525,-4.622298,2.202208889157008e-76,2.845253884790854e-75
81481,Strom,TMPO,-18.499376,-0.7206974,2.088782964532292e-76,2.700319721352648e-75
81482,Strom,LRRC19,-18.527092,-4.0033894,1.2485670714430092e-76,1.6170101731357368e-75
81483,Strom,TRPM4,-18.530602,-0.8600613,1.1697177892622265e-76,1.5153464637787397e-75
81484,Strom,C5orf30,-18.531267,-1.7354248,1.1553331993296655e-76,1.4971596267481012e-75
81485,Strom,C2orf88,-18.538326,-2.2009876,1.0132686856938901e-76,1.3134559824559136e-75
81486,Strom,B4GALNT3,-18.54063,-3.6620066,9.707834949020146e-77,1.259515924051229e-75
81487,Strom,MTHFD2,-18.544533,-0.4802638,9.028209256823376e-77,1.1716910136546607e-75
81488,Strom,BATF,-18.547491,-4.3213496,8.544929808476697e-77,1.1096359195034154e-75
81489,Strom,TRIM2,-18.549433,-0.740016,8.241624603966865e-77,1.0705702164132469e-75
81490,Strom,NDUFA7,-18.62418,-0.6192235,2.046002127152995e-77,2.6649131527967476e-76
81491,Strom,VIPR1,-18.643997,-2.7270515,1.412802048463823e-77,1.840725414256809e-76
81492,Strom,SMPDL3B,-18.656652,-3.1570742,1.1149933169169263e-77,1.4540265363904312e-76
81493,Strom,DOCK5,-18.657236,-0.8459218,1.1028953662753608e-77,1.438683461215496e-76
81494,Strom,LGALS9,-18.657925,-0.56148726,1.0887988112331292e-77,1.4207232483506874e-76
81495,Strom,ADH1C,-18.68513,-3.4085515,6.5419405582830085e-78,8.554328436362694e-77
81496,Strom,PLEKHA6,-18.695053,-1.1615763,5.431731532077905e-78,7.104750806025865e-77
81497,Strom,AGMAT,-18.697422,-3.4127963,5.195740403374494e-78,6.798126848212056e-77
81498,Strom,CTB-55O6.8,-18.704245,-1.9478433,4.57160884105641e-78,5.9833194393288044e-77
81499,Strom,ETV4,-18.71857,-2.0488636,3.494066300095045e-78,4.574415535411788e-77
81500,Strom,CMTM4,-18.723936,-1.1433202,3.15923291136139e-78,4.1373046556594155e-77
81501,Strom,FAM162A,-18.737038,-0.5885235,2.4700314800547643e-78,3.237671184728356e-77
81502,Strom,HOXA13,-18.740679,-2.9076266,2.3066339816844855e-78,3.025325211977815e-77
81503,Strom,C1orf116,-18.752502,-4.265933,1.8469407621296555e-78,2.426078605963452e-77
81504,Strom,UQCR11,-18.760962,-0.25178522,1.5752439961943633e-78,2.071072619783853e-77
81505,Strom,B3GNT7,-18.773388,-2.842903,1.2467387754320598e-78,1.6401625434118667e-77
81506,Strom,LIMD2,-18.784407,-1.7949113,1.0131192409973331e-78,1.3340379369895519e-77
81507,Strom,SH3RF2,-18.785341,-2.3895373,9.954419103092153e-79,1.3111599744979748e-77
81508,Strom,SLC25A6,-18.877588,-0.27504075,1.7437013118084538e-79,2.3079779870854283e-78
81509,Strom,PRSS16,-18.88896,-4.3893256,1.4058863267974573e-79,1.863122228917561e-78
81510,Strom,PXMP2,-18.906946,-0.8076354,9.998186048567834e-80,1.3266140053774158e-78
81511,Strom,GPR65,-18.912418,-4.0672846,9.012661188884212e-80,1.1962158895347639e-78
81512,Strom,TRAPPC6A,-18.913568,-0.61930734,8.818319077232687e-80,1.1707806328244944e-78
81513,Strom,CLDN1,-18.914076,-3.4216266,8.733690315478316e-80,1.16025655075056e-78
81514,Strom,LINC00668,-18.947096,-4.256022,4.666356938200991e-80,6.216351523521555e-79
81515,Strom,RP6-109B7.3,-18.969923,-0.90928185,3.0234784267347077e-80,4.0352202672196e-79
81516,Strom,MFSD3,-18.973259,-1.2619303,2.83759709323174e-80,3.7883059034317135e-79
81517,Strom,PLA2G2A,-18.976534,-0.8657167,2.6661347175400915e-80,3.560494996746999e-79
81518,Strom,FUOM,-18.986498,-0.8679659,2.2055247590395984e-80,2.94901212915514e-79
81519,Strom,U47924.27,-18.992668,-4.582914,1.961075694283598e-80,2.622969042026659e-79
81520,Strom,IGHM,-18.993746,-2.053084,1.921203991492245e-80,2.5704343480608147e-79
81521,Strom,VSNL1,-18.99747,-2.9950976,1.789619282411008e-80,2.395123740918777e-79
81522,Strom,SEMA4D,-19.033812,-1.4677067,8.949987973797462e-81,1.2011577658353541e-79
81523,Strom,CD84,-19.044361,-5.145208,7.317462243619801e-81,9.826695650895199e-80
81524,Strom,ARHGEF5,-19.063202,-2.197564,5.10533415051546e-81,6.864525402379936e-80
81525,Strom,NSUN5,-19.109552,-0.68384576,2.1026450336934463e-81,2.8386363801721693e-80
81526,Strom,GPR171,-19.12287,-4.8530064,1.6289523585037675e-81,2.2011962529116476e-80
81527,Strom,CD96,-19.150532,-5.029898,9.58050544677773e-82,1.2958232398357302e-80
81528,Strom,TRAC,-19.153175,-2.8768194,9.106123581273207e-82,1.23204514174638e-80
81529,Strom,COBL,-19.174974,-2.2849097,5.989733172184128e-82,8.121792956092526e-81
81530,Strom,RPS6KB2,-19.177694,-0.59949094,5.684613577354573e-82,7.710480879193376e-81
81531,Strom,NDUFA3,-19.194181,-0.4267992,4.1396002377264736e-82,5.620143584983601e-81
81532,Strom,TBXAS1,-19.199,-2.4366412,3.772883719301629e-82,5.1238767850270815e-81
81533,Strom,SLC38A5,-19.206078,-2.1459699,3.292266488120058e-82,4.476779080704126e-81
81534,Strom,MAD2L1,-19.206085,-1.6386731,3.2916686320038135e-82,4.476779080704126e-81
81535,Strom,FUT6,-19.223146,-4.132516,2.3695717243947305e-82,3.226165567010152e-81
81536,Strom,KCNQ1,-19.30104,-1.1891388,5.2639189959019e-83,7.189427011064249e-82
81537,Strom,LYPD8,-19.30117,-3.5321388,5.250556647792723e-83,7.173440430232469e-82
81538,Strom,TAOK3,-19.302813,-0.62296027,5.086399537923129e-83,6.951359166415815e-82
81539,Strom,LMNB1,-19.326199,-1.6513894,3.2338005190324544e-83,4.4236837567876957e-82
81540,Strom,PIK3AP1,-19.327913,-4.2478848,3.1281102507509666e-83,4.281811128178474e-82
81541,Strom,PROM1,-19.32805,-0.91475433,3.1198966992759247e-83,4.2732711689259675e-82
81542,Strom,PIGZ,-19.32885,-1.523201,3.0718523943266907e-83,4.2087975730056296e-82
81543,Strom,GRB7,-19.338728,-3.7180638,2.5365271551059955e-83,3.477540966971736e-82
81544,Strom,MRPS35,-19.33929,-0.73666865,2.5090340150602073e-83,3.4409382205271194e-82
81545,Strom,TNFRSF18,-19.353535,-3.7566125,1.903316197346893e-83,2.6119001792507362e-82
81546,Strom,PCGF5,-19.373142,-0.5787483,1.300710203295684e-83,1.7866499212644808e-82
81547,Strom,OXNAD1,-19.375156,-2.4708169,1.2508103577118817e-83,1.7191989171954802e-82
81548,Strom,SLC2A1,-19.506622,-1.485646,9.644816760926798e-85,1.3328446968276939e-83
81549,Strom,HAVCR2,-19.547552,-5.1900196,4.327966423156783e-85,5.990503445061462e-84
81550,Strom,BCL2A1,-19.552528,-3.645607,3.9257191828781e-85,5.435475933247918e-84
81551,Strom,CD247,-19.581337,-5.5448017,2.2308840653090378e-85,3.0898279716705847e-84
81552,Strom,pS05 (ISGs),-19.607666,-0.49630466,1.3299875316323036e-85,1.8462001393235846e-84
81553,Strom,SAT1,-19.612347,-0.48824593,1.213039779307046e-85,1.68440127455783e-84
81554,Strom,VDAC1,-19.62279,-0.49641994,9.878150381690062e-86,1.372099181066461e-84
81555,Strom,TNFRSF11A,-19.640789,-2.7216294,6.931387404777656e-86,9.634049764084344e-85
81556,Strom,PARM1,-19.671865,-0.6278279,3.756973141180218e-86,5.226914545051822e-85
81557,Strom,SLC5A1,-19.68566,-4.1000705,2.861903563659812e-86,3.986768910277566e-85
81558,Strom,RP11-390F4.3,-19.689127,-4.229927,2.6725152568392504e-86,3.724140545605809e-85
81559,Strom,MESP1,-19.716793,-2.9885592,1.5473504373587959e-86,2.1590077894830236e-85
81560,Strom,DOK2,-19.717371,-5.4635563,1.529774513136573e-86,2.1351725403926847e-85
81561,Strom,MYO1F,-19.72377,-3.0832393,1.3479403418654405e-86,1.8819856089232258e-85
81562,Strom,PRELID1,-19.747343,-0.4314963,8.455133986945915e-87,1.181262457143296e-85
81563,Strom,ACADS,-19.790802,-0.96908903,3.5731474491262006e-87,5.0000959551593996e-86
81564,Strom,ARPC3,-19.810883,-0.3745983,2.3984102970754596e-87,3.3583951626664525e-86
81565,Strom,ERBB2,-19.816263,-0.6829342,2.1553161394683143e-87,3.0199544560850623e-86
81566,Strom,AVPI1,-19.831602,-0.9421126,1.588943629760018e-87,2.227093853085269e-86
81567,Strom,EAF2,-19.841047,-2.7913506,1.3168680951994613e-87,1.8469437749975075e-86
81568,Strom,CYBB,-19.879412,-5.2441406,6.134952760144545e-88,8.621202122226499e-87
81569,Strom,DNAJC22,-19.891602,-2.4968407,4.811291463756593e-88,6.769906278748792e-87
