"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","KRT5",0.109128762921862,1,0.576470588235294,0.703349282296651,0.576470588235294,0.713450292397661,0.717854518736223,0.638157894736842,NA
"Basal cells","RPL35",0.101299112072625,1,0.567982456140351,0.801435406698565,0.782352941176471,0.736842105263158,0.573842762674504,0.567982456140351,NA
"Basal cells","PTMA",0.239659712646571,1,0.546052631578947,0.784688995215311,0.876470588235294,0.871345029239766,0.570903747244673,0.546052631578947,NA
"Basal cells","HMGB1",0.300764921255458,1,0.523879500367377,0.614832535885168,0.66078431372549,0.660818713450292,0.523879500367377,0.609649122807018,NA
"Basal cells","RPSA",0.350647609226945,1,0.521929824561404,0.758373205741627,0.831372549019608,0.690058479532164,0.525349008082292,0.521929824561404,NA
"Basal cells","SH3BGRL3",0.514867214932559,1,0.514619883040936,0.578947368421053,0.509803921568627,0.514619883040936,0.509184423218222,0.526315789473684,NA
"Basal cells","RPS2",0.358355468673789,1,0.510964912280702,0.83732057416268,0.913725490196078,0.812865497076023,0.572373254959589,0.510964912280702,NA
"Basal cells","RPS25",0.46728068845614,1,0.500367376928729,0.825358851674641,0.911764705882353,0.830409356725146,0.500367376928729,0.570175438596491,NA
"Basal cells","DBI",0.507035751225382,1,0.49780701754386,0.617224880382775,0.692156862745098,0.660818713450292,0.54592211609111,0.49780701754386,NA
"Basal cells","RPL4",0.418129349820147,1,0.493421052631579,0.645933014354067,0.647058823529412,0.725146198830409,0.528288023512123,0.493421052631579,NA
"Basal cells","RPS3",0.540499232939375,1,0.481998530492285,0.722488038277512,0.876470588235294,0.730994152046784,0.481998530492285,0.55921052631579,NA
"Basal cells","SNHG29",0.648685886203797,1,0.470977222630419,0.636363636363636,0.658823529411765,0.596491228070175,0.470977222630419,0.576754385964912,NA
"Basal cells","RPL39",0.616586575842183,1,0.469507714915503,0.744019138755981,0.9,0.818713450292398,0.469507714915503,0.475877192982456,NA
"Basal cells","HSP90AB1",0.621950010379296,1,0.468772961058046,0.66267942583732,0.690196078431373,0.707602339181287,0.468772961058046,0.467105263157895,NA
"Basal cells","COX4I1",0.556968752417671,1,0.464912280701754,0.700956937799043,0.656862745098039,0.760233918128655,0.512123438648053,0.464912280701754,NA
"Basal cells","PPA1",0.66143918116251,1,0.460526315789474,0.490430622009569,0.482352941176471,0.502923976608187,0.473181484202792,0.460526315789474,NA
"Basal cells","ATP5MG",0.626299129374686,1,0.457751653196179,0.643540669856459,0.564705882352941,0.573099415204678,0.457751653196179,0.489035087719298,NA
"Basal cells","RPS5",0.656082607887382,1,0.456140350877193,0.799043062200957,0.864705882352941,0.748538011695906,0.524614254224835,0.456140350877193,NA
"Basal cells","RPS16",0.659090915114472,1,0.449561403508772,0.777511961722488,0.756862745098039,0.619883040935672,0.573842762674504,0.449561403508772,NA
"Basal cells","RPS11",0.819615722159783,1,0.445260837619397,0.755980861244019,0.731372549019608,0.736842105263158,0.445260837619397,0.449561403508772,NA
"Basal cells","RPS24",0.784894189756358,1,0.443791329904482,0.83732057416268,0.850980392156863,0.783625730994152,0.443791329904482,0.471491228070175,NA
"Basal cells","PPIA",0.75825591942715,1,0.442982456140351,0.727272727272727,0.758823529411765,0.789473684210526,0.506245407788391,0.442982456140351,NA
"Basal cells","HLA-DPB1",0.856229079127303,1,0.440117560617193,0.523923444976076,0.574509803921569,0.497076023391813,0.440117560617193,0.429824561403509,NA
"Basal cells","TAGLN2",0.855239218947077,1,0.43921568627451,0.497607655502392,0.43921568627451,0.549707602339181,0.450404114621602,0.464912280701754,NA
"Basal cells","EIF4A1",0.80361622839958,1,0.43859649122807,0.61244019138756,0.682352941176471,0.660818713450292,0.499632623071271,0.43859649122807,NA
"Basal cells","HNRNPA1",0.81740414430926,1,0.437178545187362,0.440191387559809,0.466666666666667,0.461988304093567,0.437178545187362,0.43421052631579,NA
"Basal cells","RPL31",0.843949156596498,1,0.435709037472447,0.538277511961722,0.664705882352941,0.666666666666667,0.435709037472447,0.429824561403509,NA
"Basal cells","HMGN2",0.855070466587282,1,0.434974283614989,0.521531100478469,0.5,0.461988304093567,0.434974283614989,0.425438596491228,NA
"Basal cells","RPL24",0.794557107183913,1,0.434239529757531,0.856459330143541,0.7,0.730994152046784,0.434239529757531,0.462719298245614,NA
"Basal cells","RACK1",0.75665608747211,1,0.432017543859649,0.76555023923445,0.876470588235294,0.818713450292398,0.478324761204996,0.432017543859649,NA
"Basal cells","RPS27",0.861134940356847,1,0.429831006612785,0.720095693779904,0.858823529411765,0.725146198830409,0.429831006612785,0.594298245614035,NA
"Basal cells","SLC25A6",0.831288561339464,1,0.429824561403509,0.614832535885168,0.664705882352941,0.573099415204678,0.448199853049228,0.429824561403509,NA
"Basal cells","RPS8",0.85011694134582,1,0.429096252755327,0.818181818181818,0.841176470588235,0.730994152046784,0.429096252755327,0.570175438596491,NA
"Basal cells","RPS10",0.813928718634892,1,0.427631578947368,0.650717703349282,0.696078431372549,0.596491228070175,0.432770022042616,0.427631578947368,NA
"Basal cells","RPS4X",0.821422829185372,1,0.427631578947368,0.820574162679426,0.827450980392157,0.789473684210526,0.448199853049228,0.427631578947368,NA
"Basal cells","RPL7A",0.84378494437885,1,0.426891991182954,0.868421052631579,0.817647058823529,0.853801169590643,0.426891991182954,0.550438596491228,NA
"Basal cells","RPS13",0.849842107490222,1,0.421748714180749,0.894736842105263,0.894117647058824,0.730994152046784,0.421748714180749,0.456140350877193,NA
