,group,names,scores,logfoldchanges,pvals,pvals_adj
27109,Fibro,PMEPA1,20.68947,1.5691437,4.309173232899338e-95,1.2952058046274246e-93
27110,Fibro,PTGFRN,20.682892,2.2419546,4.9389261098339625e-95,1.4824313445619526e-93
27111,Fibro,FNDC1,20.682383,8.217633,4.991456164142191e-95,1.4971601226361906e-93
27112,Fibro,RAB23,20.668306,3.6982727,6.681950131282785e-95,2.00282663145555e-93
27113,Fibro,FLRT2,20.634224,5.8853283,1.352974811201081e-94,4.046956169896696e-93
27114,Fibro,EEF1A1,20.626232,0.62630576,1.596105402793975e-94,4.770900141141492e-93
27115,Fibro,PBX3,20.611975,2.881665,2.143051640545398e-94,6.401349972814763e-93
27116,Fibro,SH3PXD2B,20.572468,2.8106995,4.843806348006118e-94,1.4448630348339133e-92
27117,Fibro,PSMC3,20.571758,0.92771584,4.915217138044481e-94,1.465154463972736e-92
27118,Fibro,YAP1,20.545334,1.9741511,8.472727536769418e-94,2.5221223744597933e-92
27119,Fibro,TGFB1,20.540733,1.0533905,9.314613160186152e-94,2.770825338825959e-92
27120,Fibro,TNKS1BP1,20.536524,2.2726781,1.0157810067616106e-93,3.0195764790285734e-92
27121,Fibro,TEAD1,20.510431,2.6699016,1.7374502739766133e-93,5.161312474828811e-92
27122,Fibro,GLI3,20.506392,7.0036755,1.8879312580887318e-93,5.604488389066975e-92
27123,Fibro,CBR1,20.49177,1.186352,2.5495101999421986e-93,7.563255687038947e-92
27124,Fibro,FST,20.487165,6.1527786,2.802424155687121e-93,8.307843993592464e-92
27125,Fibro,OMD,20.472643,10.75214,3.7758042808837865e-93,1.1185787877153459e-91
27126,Fibro,YIF1A,20.46787,0.94210434,4.1642165002813915e-93,1.232801768571677e-91
27127,Fibro,FAM150B,20.46567,8.1512575,4.356576173108575e-93,1.2888676003040695e-91
27128,Fibro,ERLEC1,20.459076,1.011453,4.987422563640738e-93,1.4744919631113283e-91
27129,Fibro,NTAN1,20.451252,1.5093685,5.8552146752513506e-93,1.7298662223496854e-91
27130,Fibro,CARHSP1,20.444868,0.91018385,6.673803686330847e-93,1.9703654239547864e-91
27131,Fibro,OSBPL8,20.434053,1.1639652,8.329350987884172e-93,2.45747082111522e-91
27132,Fibro,NCKAP1,20.431372,1.3979477,8.799534546288449e-93,2.5944240751529747e-91
27133,Fibro,IAH1,20.42753,1.0213565,9.519633006902993e-93,2.8048247502026916e-91
27134,Fibro,AKT3,20.417377,2.5854206,1.1718704369596278e-92,3.4504011056113336e-91
27135,Fibro,DNM1,20.40476,4.140295,1.5170554206423083e-92,4.463711265549992e-91
27136,Fibro,GBP1,20.401125,1.411978,1.63413288502302e-92,4.804927957171628e-91
27137,Fibro,ADGRL3,20.398506,7.4695563,1.724041949308103e-92,5.065850892732744e-91
27138,Fibro,pB11 (glycolysis),20.382416,1.5376892,2.3954061944252618e-92,7.033783643630542e-91
27139,Fibro,GUCY1B3,20.361433,4.3760285,3.676668868176212e-92,1.0781407991355203e-90
27140,Fibro,TRIM8,20.32362,1.5772446,7.949277345819346e-92,2.3294558028554703e-90
27141,Fibro,BACE1,20.315884,3.566146,9.306033031735267e-92,2.723351735494022e-90
